station_id,count_stop_station_id,station_name
3186,43628,"Grove St PATH"
3183,21433,"Exchange Place"
3203,17364,"Hamilton Park"
3202,14517,"Newport PATH"
3195,13835,"Sip Ave"
3639,10057,Harborside
3199,9020,"Newport Pkwy"
3276,8961,"Marin Light Rail"
3211,8261,"Newark Ave"
3187,8171,"Warren St"
3185,8163,"City Hall"
3267,8037,"Morris Canal"
3184,7324,"Paulus Hook"
3213,6978,"Van Vorst Park"
3192,6635,"Liberty Light Rail"
3638,6448,"Washington St"
3272,6321,"Jersey & 3rd"
3214,6312,"Essex Light Rail"
3269,6266,"Brunswick & 6th"
3275,6203,"Columbus Drive"
3209,5921,"Brunswick St"
3273,5872,"Manila & 1st"
3270,5418,"Jersey & 6th St"
3278,4845,"Monmouth and 6th"
3205,4721,"JC Medical Center"
3279,4500,"Dixon Mills"
3640,4436,"Journal Square"
3194,3765,"McGinley Square"
3207,3662,"Oakland Ave"
3210,3520,"Pershing Field"
3681,3393,"Grand St"
3225,3003,"Baldwin at Montgomery"
3193,2796,"Lincoln Park"
3481,2647,"York St"
3280,2459,"Astor Place"
3281,2168,"Leonard Gordon Park"
3206,2146,Hilltop
3198,2145,"Heights Elevator"
3483,1914,"Montgomery St"
3268,1832,"Lafayette Park"
3679,1825,"Bergen Ave"
3678,1644,"Fairmount Ave"
3196,1566,"Riverview Park"
3220,1560,"5 Corners Library"
3212,1444,"Christ Hospital"
3201,1424,"Dey St"
3277,1302,"Communipaw & Berry Lane"
3191,1139,"Union St"
3677,706,"Glenwood Ave"
3694,263,"Jackson Square"
3426,193,"JCBS Depot"
3190,171,"Garfield Ave Station"
3189,96,"West Side Light Rail"
3188,51,NJCU
327,45,"Vesey Pl & River Terrace"
3200,32,"MLK Light Rail"
3217,31,"Bayside Park"
3274,24,"Bethune Center"
3216,22,"Columbia Park"
3271,16,"Danforth Light Rail"
514,13,"12 Ave & W 40 St"
157,9,"Henry St & Atlantic Ave"
304,9,"Broadway & Battery Pl"
398,6,"Atlantic Ave & Furman St"
508,4,"W 46 St & 11 Ave"
447,4,"8 Ave & W 52 St"
146,3,"Hudson St & Reade St"
534,3,"Water - Whitehall Plaza"
3547,3,"Broadway & Moylan Pl"
457,3,"Broadway & W 58 St"
309,3,"Murray St & West St"
486,3,"Broadway & W 29 St"
3163,2,"Central Park West & W 68 St"
3461,2,"Murray St & Greenwich St"
3467,2,"W Broadway & Spring Street"
427,2,"Bus Slip & State St"
505,2,"6 Ave & W 33 St"
3002,2,"South End Ave & Liberty St"
3165,2,"Central Park West & W 72 St"
3256,2,"Pier 40 - Hudson River Park"
303,2,"Mercer St & Spring St"
264,2,"Maiden Ln & Pearl St"
525,2,"W 34 St & 11 Ave"
426,2,"West St & Chambers St"
3541,2,"Amsterdam Ave & W 125 St"
478,2,"11 Ave & W 41 St"
3552,1,"W 113 St & Broadway"
526,1,"E 33 St & 5 Ave"
422,1,"W 59 St & 10 Ave"
359,1,"E 47 St & Park Ave"
353,1,"S Portland Ave & Hanson Pl"
376,1,"John St & William St"
380,1,"W 4 St & 7 Ave S"
513,1,"W 56 St & 10 Ave"
336,1,"Sullivan St & Washington Sq"
520,1,"W 52 St & 5 Ave"
472,1,"E 32 St & Park Ave"
3311,1,"Columbia St & Kane St"
498,1,"Broadway & W 32 St"
2023,1,"E 55 St & Lexington Ave"
3415,1,"Prospect Pl & 6 Ave"
345,1,"W 13 St & 6 Ave"
3400,1,"E 110 St & Madison Ave"
2006,1,"Central Park S & 6 Ave"
3539,1,"W 116 St & Amsterdam Ave"
167,1,"E 39 St & 3 Ave"
448,1,"W 37 St & 10 Ave"
276,1,"Duane St & Greenwich St"
259,1,"South St & Whitehall St"
377,1,"6 Ave & Canal St"
331,1,"Pike St & Monroe St"
453,1,"W 22 St & 8 Ave"
501,1,"FDR Drive & E 35 St"
417,1,"Barclay St & Church St"
462,1,"W 22 St & 10 Ave"
127,1,"Barrow St & Hudson St"
319,1,"Fulton St & Broadway"
306,1,"Cliff St & Fulton St_1"
537,1,"Lexington Ave & E 24 St"
212,1,"W 16 St & The High Line"
3356,1,"Amsterdam Ave & W 66 St"
